E	S	MS	BG	ST
 889.95	 118922.3984375	 118922.3984375	 0	 0
 889.85	 119041.4296875	 119041.4296875	 0	 0
 889.75	 119947.828125	 119947.828125	 0	 0
 889.65	 119857.3046875	 119857.3046875	 0	 0
 889.55	 119432.765625	 119432.765625	 0	 0
 889.45	 119397.5	 119397.5	 0	 0
 889.35	 119496.1328125	 119496.1328125	 0	 0
 889.25	 120081.3515625	 120081.3515625	 0	 0
 889.15	 119355.8671875	 119355.8671875	 0	 0
 889.05	 118832.2109375	 118832.2109375	 0	 0
 888.95	 119240.5546875	 119240.5546875	 0	 0
 888.85	 119369.0546875	 119369.0546875	 0	 0
 888.75	 118526.1484375	 118526.1484375	 0	 0
 888.65	 119039.390625	 119039.390625	 0	 0
 888.55	 118760.1484375	 118760.1484375	 0	 0
 888.45	 118839.6328125	 118839.6328125	 0	 0
 888.35	 118653.140625	 118653.140625	 0	 0
 888.25	 118845.0546875	 118845.0546875	 0	 0
 888.15	 119070.1875	 119070.1875	 0	 0
 888.05	 119116.3984375	 119116.3984375	 0	 0
 887.95	 118805.46875	 118805.46875	 0	 0
 887.85	 118150.2421875	 118150.2421875	 0	 0
 887.75	 118295.21875	 118295.21875	 0	 0
 887.65	 118523.0546875	 118523.0546875	 0	 0
 887.55	 118427.390625	 118427.390625	 0	 0
 887.45	 118189.4921875	 118189.4921875	 0	 0
 887.35	 118558.8984375	 118558.8984375	 0	 0
 887.25	 118019.859375	 118019.859375	 0	 0
 887.15	 117855.75	 117855.75	 0	 0
 887.05	 118192.203125	 118192.203125	 0	 0
 886.95	 118041.8125	 118041.8125	 0	 0
 886.85	 117756.609375	 117756.609375	 0	 0
 886.75	 118294.3828125	 118294.3828125	 0	 0
 886.65	 118135.1875	 118135.1875	 0	 0
 886.55	 118476.6015625	 118476.6015625	 0	 0
 886.45	 117972.75	 117972.75	 0	 0
 886.35	 118252.25	 118252.25	 0	 0
 886.25	 118056.484375	 118056.484375	 0	 0
 886.15	 118043.75	 118043.75	 0	 0
 886.05	 117948.15625	 117948.15625	 0	 0
 885.95	 118183.0078125	 118183.0078125	 0	 0
 885.85	 118313.8359375	 118313.8359375	 0	 0
 885.75	 118856.265625	 118856.265625	 0	 0
 885.65	 118821.46875	 118821.46875	 0	 0
 885.55	 118465.6796875	 118465.6796875	 0	 0
 885.45	 118372.5078125	 118372.5078125	 0	 0
 885.35	 118552.640625	 118552.640625	 0	 0
 885.25	 119152.3515625	 119152.3515625	 0	 0
 885.15	 119014.2734375	 119014.2734375	 0	 0
 885.05	 119511.1953125	 119511.1953125	 0	 0
 884.95	 119351.5	 119351.5	 0	 0
 884.85	 119629.9921875	 119629.9921875	 0	 0
 884.75	 120131.484375	 120131.484375	 0	 0
 884.65	 119814.03125	 119814.03125	 0	 0
 884.55	 119905.7734375	 119905.7734375	 0	 0
 884.45	 120019.9453125	 120019.9453125	 0	 0
 884.35	 120439.9765625	 120439.9765625	 0	 0
 884.25	 120489.8046875	 120489.8046875	 0	 0
 884.15	 121028.1640625	 121028.1640625	 0	 0
 884.05	 120396.6953125	 120396.6953125	 0	 0
 883.95	 120876.8359375	 120876.8359375	 0	 0
 883.85	 121466.234375	 121466.234375	 0	 0
 883.75	 121171.15625	 121171.15625	 0	 0
 883.65	 121984.0234375	 121984.0234375	 0	 0
 883.55	 121880.171875	 121880.171875	 0	 0
 883.45	 121836.4765625	 121836.4765625	 0	 0
 883.35	 122355.234375	 122355.234375	 0	 0
 883.25	 122555.0859375	 122555.0859375	 0	 0
 883.15	 122643.796875	 122643.796875	 0	 0
 883.05	 122874.0234375	 122874.0234375	 0	 0
 882.95	 123225.359375	 123225.359375	 0	 0
 882.85	 123820.4375	 123820.4375	 0	 0
 882.75	 123919.171875	 123919.171875	 0	 0
 882.65	 123999.6484375	 123999.6484375	 0	 0
 882.55	 124290.203125	 124290.203125	 0	 0
 882.45	 124752.8203125	 124752.8203125	 0	 0
 882.35	 124586.8515625	 124586.8515625	 0	 0
 882.25	 124976.15625	 124976.15625	 0	 0
 882.15	 125497.40625	 125497.40625	 0	 0
 882.05	 125703.3046875	 125703.3046875	 0	 0
 881.95	 125949.390625	 125949.390625	 0	 0
 881.85	 126645.9296875	 126645.9296875	 0	 0
 881.75	 126750.015625	 126750.015625	 0	 0
 881.65	 127394.0078125	 127394	 0	 0
 881.55	 127581.8828125	 127581.8828125	 0	 0
 881.45	 127493.4765625	 127493.4765625	 0	 0
 881.35	 127667.25	 127667.25	 0	 0
 881.25	 128642.921875	 128642.921875	 0	 0
 881.15	 128742.78125	 128742.78125	 0	 0
 881.05	 128061.3828125	 128061.3828125	 0	 0
 880.95	 128814.03125	 128814.03125	 0	 0
 880.85	 128611.3203125	 128611.3203125	 0	 0
 880.75	 128314.1953125	 128314.1953125	 0	 0
 880.65	 128969.015625	 128969.015625	 0	 0
 880.55	 128785.3984375	 128785.3984375	 0	 0
 880.45	 128351.734375	 128351.734375	 0	 0
 880.35	 128413.0625	 128413.0625	 0	 0
 880.25	 129073.328125	 129073.328125	 0	 0
 880.15	 128298.78125	 128319.9765625	 0	-21.1980972290039
 880.05	 128365.109375	 128372.2421875	 0	-7.13573837280273
 879.95	 128756.34375	 128698.9375	 0	 57.4045257568359
 879.85	 128759.8515625	 128701.640625	 0	 58.2106475830078
 879.75	 128509.8125	 128472.21875	 0	 37.5963935852051
 879.65	 129068.953125	 129027.09375	 0	 41.8568267822266
 879.55	 128511.6796875	 128456.984375	 0	 54.6919975280762
 879.45	 128768.1015625	 128669.375	 0	 98.7265472412109
 879.35	 128611.59375	 128552.7265625	 0	 58.8641128540039
 879.25	 128318.6015625	 128286.7890625	 0	 31.8133735656738
 879.15	 127864.7578125	 127800.359375	 0	 64.4008483886719
 879.05	 128180.2578125	 128101.1328125	 0	 79.1235504150391
 878.95	 127628.171875	 127596.5546875	 0	 31.6161670684814
 878.85	 127145.4609375	 127074.5859375	 0	 70.8744430541992
 878.75	 127227.8828125	 127168.453125	 0	 59.4332962036133
 878.65	 127282.1015625	 127211.171875	 0	 70.9339370727539
 878.55	 127138.5078125	 127073.109375	 0	 65.4028015136719
 878.45	 126743.1796875	 126659.09375	 0	 84.0903396606445
 878.35	 126762.734375	 126657.796875	 0	 104.939147949219
 878.25	 126429.3671875	 126315.0078125	 0	 114.359741210937
 878.15	 125892.7265625	 125802.421875	 0	 90.3020095825195
 878.05	 125718.9453125	 125657.1875	 0	 61.7578239440918
 877.95	 124858.5390625	 124748.9140625	 0	 109.622550964355
 877.85	 124781.53125	 124650.578125	 0	 130.954772949219
 877.75	 124114.3984375	 123993.515625	 0	 120.88410949707
 877.65	 123860.6484375	 123746.53125	 0	 114.119438171387
 877.55	 123633.59375	 123483.078125	 0	 150.520614624023
 877.45	 123219.75	 123075.3828125	 0	 144.366958618164
 877.35	 123359.546875	 123239.34375	 0	 120.200912475586
 877.25	 122609.078125	 122474.5859375	 0	 134.491058349609
 877.15	 122807.2265625	 122659.765625	 0	 147.45817565918
 877.05	 123758.6640625	 123615.828125	 0	 142.827941894531
 876.95	 122991.90625	 122832.1328125	 0	 159.774612426758
 876.85	 122204.6171875	 122029.09375	 0	 175.529998779297
 876.75	 121769.9140625	 121571.921875	 0	 197.990188598633
 876.65	 121080.5859375	 120902.78125	 0	 177.810455322266
 876.55	 121529.6171875	 121330.390625	 0	 199.230438232422
 876.45	 121324.4765625	 121122.125	 0	 202.349822998047
 876.35	 121314.7421875	 121096.5	 0	 218.246292114258
