E	K_beta
-7.5	5.81411E-7
-7.4	5.82973E-7
-7.3	5.84541E-7
-7.2	5.86115E-7
-7.1	5.87696E-7
-7	5.89283E-7
-6.9	5.90877E-7
-6.8	5.92477E-7
-6.7	5.94083E-7
-6.6	5.95697E-7
-6.5	5.97316E-7
-6.4	5.98943E-7
-6.3	6.00576E-7
-6.2	6.02215E-7
-6.1	6.03862E-7
-6	6.05515E-7
-5.9	6.07175E-7
-5.8	6.08842E-7
-5.7	6.10516E-7
-5.6	6.12197E-7
-5.5	6.13884E-7
-5.4	6.15579E-7
-5.3	6.17281E-7
-5.2	6.1899E-7
-5.1	6.20706E-7
-5	6.22429E-7
-4.9	6.24159E-7
-4.8	6.25897E-7
-4.7	6.27642E-7
-4.6	6.29394E-7
-4.5	6.31153E-7
-4.4	6.3292E-7
-4.3	6.34694E-7
-4.2	6.36476E-7
-4.1	6.38266E-7
-4	6.40063E-7
-3.9	6.41867E-7
-3.8	6.43679E-7
-3.7	6.45499E-7
-3.6	6.47327E-7
-3.5	6.49163E-7
-3.4	6.51006E-7
-3.3	6.52857E-7
-3.2	6.54716E-7
-3.1	6.56583E-7
-3	6.58458E-7
-2.9	6.60341E-7
-2.8	6.62233E-7
-2.7	6.64132E-7
-2.6	6.6604E-7
-2.5	6.67956E-7
-2.4	6.6988E-7
-2.3	6.71812E-7
-2.2	6.73753E-7
-2.1	6.75703E-7
-2	6.7766E-7
-1.9	6.79627E-7
-1.8	6.81602E-7
-1.7	6.83585E-7
-1.6	6.85578E-7
-1.5	6.87579E-7
-1.4	6.89589E-7
-1.3	6.91607E-7
-1.2	6.93635E-7
-1.1	6.95671E-7
-1	6.97717E-7
-0.9	6.99772E-7
-0.8	7.01835E-7
-0.7	7.03908E-7
-0.6	7.0599E-7
-0.5	7.08082E-7
-0.4	7.10182E-7
-0.3	7.12292E-7
-0.2	7.14412E-7
-0.1	7.16541E-7
0	7.18679E-7
0.1	7.20828E-7
0.2	7.22985E-7
0.3	7.25153E-7
0.4	7.2733E-7
0.5	7.29518E-7
0.6	7.31715E-7
0.7	7.33922E-7
0.8	7.36139E-7
0.9	7.38366E-7
1	7.40603E-7
1.1	7.42851E-7
1.2	7.45109E-7
1.3	7.47377E-7
1.4	7.49656E-7
1.5	7.51945E-7
1.6	7.54244E-7
1.7	7.56554E-7
1.8	7.58875E-7
1.9	7.61207E-7
2	7.63549E-7
2.1	7.65902E-7
2.2	7.68266E-7
2.3	7.70641E-7
2.4	7.73027E-7
2.5	7.75425E-7
2.6	7.77833E-7
2.7	7.80253E-7
2.8	7.82684E-7
2.9	7.85126E-7
3	7.8758E-7
3.1	7.90046E-7
3.2	7.92523E-7
3.3	7.95012E-7
3.4	7.97513E-7
3.5	8.00025E-7
3.6	8.02549E-7
3.7	8.05086E-7
3.8	8.07634E-7
3.9	8.10195E-7
4	8.12768E-7
4.1	8.15353E-7
4.2	8.17951E-7
4.3	8.20561E-7
4.4	8.23183E-7
4.5	8.25818E-7
4.6	8.28466E-7
4.7	8.31127E-7
4.8	8.33801E-7
4.9	8.36487E-7
5	8.39187E-7
5.1	8.41899E-7
5.2	8.44625E-7
5.3	8.47365E-7
5.4	8.50117E-7
5.5	8.52883E-7
5.6	8.55663E-7
5.7	8.58456E-7
5.8	8.61263E-7
5.9	8.64084E-7
6	8.66919E-7
6.1	8.69768E-7
6.2	8.72631E-7
6.3	8.75508E-7
6.4	8.78399E-7
6.5	8.81305E-7
6.6	8.84225E-7
6.7	8.8716E-7
6.8	8.9011E-7
6.9	8.93074E-7
7	8.96053E-7
7.1	8.99047E-7
7.2	9.02057E-7
7.3	9.05081E-7
7.4	9.08121E-7
7.5	9.11176E-7
7.6	9.14247E-7
7.7	9.17333E-7
7.8	9.20435E-7
7.9	9.23553E-7
8	9.26686E-7
8.1	9.29836E-7
8.2	9.33002E-7
8.3	9.36184E-7
8.4	9.39382E-7
8.5	9.42597E-7
8.6	9.45829E-7
8.7	9.49077E-7
8.8	9.52342E-7
8.9	9.55624E-7
9	9.58923E-7
9.1	9.62239E-7
9.2	9.65573E-7
9.3	9.68924E-7
9.4	9.72292E-7
9.5	9.75678E-7
9.6	9.79082E-7
9.7	9.82504E-7
9.8	9.85943E-7
9.9	9.89401E-7
10	9.92878E-7
10.1	9.96372E-7
10.2	9.99885E-7
10.3	1.00342E-6
10.4	1.00697E-6
10.5	1.01054E-6
10.6	1.01413E-6
10.7	1.01773E-6
10.8	1.02136E-6
10.9	1.02501E-6
11	1.02867E-6
11.1	1.03236E-6
11.2	1.03607E-6
11.3	1.03979E-6
11.4	1.04354E-6
11.5	1.04731E-6
11.6	1.05109E-6
11.7	1.0549E-6
11.8	1.05873E-6
11.9	1.06258E-6
12	1.06645E-6
12.1	1.07034E-6
12.2	1.07426E-6
12.3	1.07819E-6
12.4	1.08215E-6
12.5	1.08613E-6
12.6	1.09013E-6
12.7	1.09415E-6
12.8	1.0982E-6
12.9	1.10227E-6
13	1.10636E-6
13.1	1.11047E-6
13.2	1.11461E-6
13.3	1.11877E-6
13.4	1.12295E-6
13.5	1.12716E-6
13.6	1.13139E-6
13.7	1.13564E-6
13.8	1.13992E-6
13.9	1.14423E-6
14	1.14855E-6
14.1	1.15291E-6
14.2	1.15728E-6
14.3	1.16169E-6
14.4	1.16611E-6
14.5	1.17057E-6
14.6	1.17505E-6
14.7	1.17955E-6
